timestamp,hexphase,cycle
2019-07-15 10:46:14,1200ed,1
2019-07-15 10:46:18,1002ed,1
2019-07-15 10:46:22,1100ee,1
2019-07-15 10:46:36,0011ee,1
2019-07-15 10:46:40,0000ff,1
2019-07-15 10:46:42,4800b7,1
2019-07-15 10:46:50,4008b7,1
2019-07-15 10:46:54,4400bb,1
2019-07-15 10:47:14,0044bb,1
2019-07-15 10:47:18,0000ff,1
2019-07-15 10:47:20,1100ee,2
2019-07-15 10:47:30,0011ee,2
2019-07-15 10:47:34,0000ff,2
2019-07-15 10:47:36,4400bb,2
2019-07-15 10:47:55,0044bb,2
2019-07-15 10:48:00,0000ff,2
2019-07-15 10:48:02,1200ed,3
2019-07-15 10:48:15,0012ed,3
2019-07-15 10:48:18,0000ff,3
2019-07-15 10:48:21,84007b,3
2019-07-15 10:48:33,04807b,3
2019-07-15 10:48:38,0400fb,3
2019-07-15 10:48:38,4400bb,3
2019-07-15 10:49:21,0044bb,3
2019-07-15 10:49:25,0000ff,3
2019-07-15 10:49:27,1100ee,4
2019-07-15 10:49:41,0011ee,4
2019-07-15 10:49:45,0000ff,4
2019-07-15 10:49:47,4400bb,4
2019-07-15 10:50:06,0044bb,4
2019-07-15 10:50:10,0000ff,4
2019-07-15 10:50:12,1200ed,5
2019-07-15 10:50:18,0012ed,5
2019-07-15 10:50:22,0000ff,5
2019-07-15 10:50:24,84007b,5
2019-07-15 10:50:34,04807b,5
2019-07-15 10:50:39,0400fb,5
2019-07-15 10:50:39,4400bb,5
2019-07-15 10:50:54,0044bb,5
2019-07-15 10:50:58,0000ff,5
2019-07-15 10:51:00,1200ed,6
2019-07-15 10:51:11,1002ed,6
2019-07-15 10:51:15,1100ee,6
2019-07-15 10:51:26,0011ee,6
2019-07-15 10:51:30,0000ff,6
2019-07-15 10:51:32,84007b,6
2019-07-15 10:51:41,04807b,6
2019-07-15 10:51:45,0400fb,6
2019-07-15 10:51:45,4400bb,6
2019-07-15 10:52:14,0044bb,6
2019-07-15 10:52:18,0000ff,6
2019-07-15 10:52:20,1100ee,7
2019-07-15 10:52:35,0011ee,7
2019-07-15 10:52:39,0000ff,7
2019-07-15 10:52:41,4800b7,7
2019-07-15 10:52:49,4008b7,7
2019-07-15 10:52:53,4400bb,7
2019-07-15 10:53:27,0044bb,7
2019-07-15 10:53:31,0000ff,7
2019-07-15 10:53:33,1200ed,8
2019-07-15 10:53:42,1002ed,8
2019-07-15 10:53:45,1100ee,8
2019-07-15 10:53:57,0011ee,8
2019-07-15 10:54:00,0000ff,8
2019-07-15 10:54:03,84007b,8
2019-07-15 10:54:12,04807b,8
2019-07-15 10:54:16,0400fb,8
2019-07-15 10:54:16,4400bb,8
2019-07-15 10:54:40,0044bb,8
2019-07-15 10:54:44,0000ff,8
2019-07-15 10:54:46,1200ed,9
2019-07-15 10:55:07,1002ed,9
2019-07-15 10:55:11,1100ee,9
2019-07-15 10:55:28,0011ee,9
2019-07-15 10:55:32,0000ff,9
2019-07-15 10:55:34,4800b7,9
2019-07-15 10:55:46,4008b7,9
2019-07-15 10:55:51,4400bb,9
2019-07-15 10:56:36,0044bb,9
2019-07-15 10:56:40,0000ff,9
2019-07-15 10:56:42,1200ed,10
2019-07-15 10:56:52,1002ed,10
2019-07-15 10:56:56,1100ee,10
2019-07-15 10:57:10,0011ee,10
2019-07-15 10:57:13,0000ff,10
2019-07-15 10:57:16,880077,10
2019-07-15 10:57:30,088077,10
2019-07-15 10:57:34,0008f7,10
2019-07-15 10:57:34,4008b7,10
2019-07-15 10:57:38,4400bb,10
2019-07-15 10:57:55,0044bb,10
2019-07-15 10:58:00,0000ff,10
2019-07-15 10:58:02,1200ed,11
2019-07-15 10:58:08,0012ed,11
2019-07-15 10:58:11,0000ff,11
2019-07-15 10:58:14,4400bb,11
2019-07-15 10:58:52,0044bb,11
2019-07-15 10:58:57,0000ff,11
2019-07-15 10:58:59,1200ed,12
2019-07-15 10:59:06,1002ed,12
2019-07-15 10:59:10,1100ee,12
2019-07-15 10:59:23,0011ee,12
2019-07-15 10:59:27,0000ff,12
2019-07-15 10:59:30,84007b,12
2019-07-15 10:59:37,04807b,12
2019-07-15 10:59:42,0400fb,12
2019-07-15 10:59:42,4400bb,12
2019-07-15 10:59:57,0044bb,12
2019-07-15 11:00:07,0000ff,12
2019-07-15 11:00:09,1200ed,13
2019-07-15 11:00:13,0012ed,13
2019-07-15 11:00:16,0000ff,13
2019-07-15 11:00:19,4400bb,13
2019-07-15 11:00:37,0044bb,13
2019-07-15 11:00:41,0000ff,13
2019-07-15 11:00:43,1200ed,14
2019-07-15 11:00:52,1002ed,14
2019-07-15 11:00:56,1100ee,14
2019-07-15 10:46:14,1200ed,1
2019-07-15 10:46:18,1002ed,1
2019-07-15 10:46:22,1100ee,1
2019-07-15 10:46:36,0011ee,1
2019-07-15 10:46:40,0000ff,1
2019-07-15 10:46:42,4800b7,1
2019-07-15 10:46:50,4008b7,1
2019-07-15 10:46:54,4400bb,1
2019-07-15 10:47:14,0044bb,1
2019-07-15 10:47:18,0000ff,1
2019-07-15 10:47:20,1100ee,2
2019-07-15 10:47:30,0011ee,2
2019-07-15 10:47:34,0000ff,2
2019-07-15 10:47:36,4400bb,2
2019-07-15 10:47:55,0044bb,2
2019-07-15 10:48:00,0000ff,2
2019-07-15 10:48:02,1200ed,3
2019-07-15 10:48:15,0012ed,3
2019-07-15 10:48:18,0000ff,3
2019-07-15 10:48:21,84007b,3
2019-07-15 10:48:33,04807b,3
2019-07-15 10:48:38,0400fb,3
2019-07-15 10:48:38,4400bb,3
2019-07-15 10:49:21,0044bb,3
2019-07-15 10:49:25,0000ff,3
2019-07-15 10:49:27,1100ee,4
2019-07-15 10:49:41,0011ee,4
2019-07-15 10:49:45,0000ff,4
2019-07-15 10:49:47,4400bb,4
2019-07-15 10:50:06,0044bb,4
2019-07-15 10:50:10,0000ff,4
2019-07-15 10:50:12,1200ed,5
2019-07-15 10:50:18,0012ed,5
2019-07-15 10:50:22,0000ff,5
2019-07-15 10:50:24,84007b,5
2019-07-15 10:50:34,04807b,5
2019-07-15 10:50:39,0400fb,5
2019-07-15 10:50:39,4400bb,5
2019-07-15 10:50:54,0044bb,5
2019-07-15 10:50:58,0000ff,5
2019-07-15 10:51:00,1200ed,6
2019-07-15 10:51:11,1002ed,6
2019-07-15 10:51:15,1100ee,6
2019-07-15 10:51:26,0011ee,6
2019-07-15 10:51:30,0000ff,6
2019-07-15 10:51:32,84007b,6
2019-07-15 10:51:41,04807b,6
2019-07-15 10:51:45,0400fb,6
2019-07-15 10:51:45,4400bb,6
2019-07-15 10:52:14,0044bb,6
2019-07-15 10:52:18,0000ff,6
2019-07-15 10:52:20,1100ee,7
2019-07-15 10:52:35,0011ee,7
2019-07-15 10:52:39,0000ff,7
2019-07-15 10:52:41,4800b7,7
2019-07-15 10:52:49,4008b7,7
2019-07-15 10:52:53,4400bb,7
2019-07-15 10:53:27,0044bb,7
2019-07-15 10:53:31,0000ff,7
2019-07-15 10:53:33,1200ed,8
2019-07-15 10:53:42,1002ed,8
2019-07-15 10:53:45,1100ee,8
2019-07-15 10:53:57,0011ee,8
2019-07-15 10:54:00,0000ff,8
2019-07-15 10:54:03,84007b,8
2019-07-15 10:54:12,04807b,8
2019-07-15 10:54:16,0400fb,8
2019-07-15 10:54:16,4400bb,8
2019-07-15 10:54:40,0044bb,8
2019-07-15 10:54:44,0000ff,8
2019-07-15 10:54:46,1200ed,9
2019-07-15 10:55:07,1002ed,9
2019-07-15 10:55:11,1100ee,9
2019-07-15 10:55:28,0011ee,9
2019-07-15 10:55:32,0000ff,9
2019-07-15 10:55:34,4800b7,9
2019-07-15 10:55:46,4008b7,9
2019-07-15 10:55:51,4400bb,9
2019-07-15 10:56:36,0044bb,9
2019-07-15 10:56:40,0000ff,9
2019-07-15 10:56:42,1200ed,10
2019-07-15 10:56:52,1002ed,10
2019-07-15 10:56:56,1100ee,10
2019-07-15 10:57:10,0011ee,10
2019-07-15 10:57:13,0000ff,10
2019-07-15 10:57:16,880077,10
2019-07-15 10:57:30,088077,10
2019-07-15 10:57:34,0008f7,10
2019-07-15 10:57:34,4008b7,10
2019-07-15 10:57:38,4400bb,10
2019-07-15 10:57:55,0044bb,10
2019-07-15 10:58:00,0000ff,10
2019-07-15 10:58:02,1200ed,11
2019-07-15 10:58:08,0012ed,11
2019-07-15 10:58:11,0000ff,11
2019-07-15 10:58:14,4400bb,11
2019-07-15 10:58:52,0044bb,11
2019-07-15 10:58:57,0000ff,11
2019-07-15 10:58:59,1200ed,12
2019-07-15 10:59:06,1002ed,12
2019-07-15 10:59:10,1100ee,12
2019-07-15 10:59:23,0011ee,12
2019-07-15 10:59:27,0000ff,12
2019-07-15 10:59:30,84007b,12
2019-07-15 10:59:37,04807b,12
2019-07-15 10:59:42,0400fb,12
2019-07-15 10:59:42,4400bb,12
2019-07-15 10:59:57,0044bb,12
2019-07-15 11:00:07,0000ff,12
2019-07-15 11:00:09,1200ed,13
2019-07-15 11:00:13,0012ed,13
2019-07-15 11:00:16,0000ff,13
2019-07-15 11:00:19,4400bb,13
2019-07-15 11:00:37,0044bb,13
2019-07-15 11:00:41,0000ff,13
2019-07-15 11:00:43,1200ed,14
2019-07-15 11:00:52,1002ed,14
2019-07-15 11:00:56,1100ee,14
