track_id,x,y,class,camera_id,intersection_id,phase,name
track_id,x,y,class,camera_id,intersection_id,phase,name
259,493,565,car,3,7356,84007b,84007bcar0
259,497,565,car,3,7356,84007b,84007bcar0
259,508,562,car,3,7356,84007b,84007bcar0
259,530,542,car,3,7356,84007b,84007bcar0
259,542,538,car,3,7356,84007b,84007bcar0
259,575,503,car,3,7356,84007b,84007bcar0
259,596,476,car,3,7356,84007b,84007bcar0
259,622,436,car,3,7356,84007b,84007bcar0
259,642,395,car,3,7356,84007b,84007bcar0
259,652,367,car,3,7356,84007b,84007bcar0
259,654,356,car,3,7356,84007b,84007bcar0
259,660,335,car,3,7356,84007b,84007bcar0
1312,567,508,car,3,7356,84007b,84007bcar1
1312,585,492,car,3,7356,84007b,84007bcar1
1312,594,481,car,3,7356,84007b,84007bcar1
1312,635,418,car,3,7356,84007b,84007bcar1
1312,667,345,car,3,7356,84007b,84007bcar1
1312,681,293,car,3,7356,84007b,84007bcar1
1312,687,257,car,3,7356,84007b,84007bcar1
1312,687,246,car,3,7356,84007b,84007bcar1
1312,690,223,car,3,7356,84007b,84007bcar1
1312,690,163,car,3,7356,84007b,84007bcar1
1312,690,135,car,3,7356,84007b,84007bcar1
1312,690,86,car,3,7356,84007b,84007bcar1
1312,690,47,car,3,7356,84007b,84007bcar1
259,493,565,car,3,7356,84007b,84007bcar2
259,497,565,car,3,7356,84007b,84007bcar2
259,508,562,car,3,7356,84007b,84007bcar2
259,530,542,car,3,7356,84007b,84007bcar2
259,542,538,car,3,7356,84007b,84007bcar2
259,575,503,car,3,7356,84007b,84007bcar2
259,596,476,car,3,7356,84007b,84007bcar2
259,622,436,car,3,7356,84007b,84007bcar2
259,642,395,car,3,7356,84007b,84007bcar2
259,652,367,car,3,7356,84007b,84007bcar2
259,654,356,car,3,7356,84007b,84007bcar2
259,660,335,car,3,7356,84007b,84007bcar2
1328,563,503,car,3,7356,00847b,00847bcar0
1328,580,484,car,3,7356,00847b,00847bcar0
1328,600,457,car,3,7356,00847b,00847bcar0
1328,624,419,car,3,7356,00847b,00847bcar0
1328,648,357,car,3,7356,00847b,00847bcar0
1328,658,327,car,3,7356,00847b,00847bcar0
1328,668,286,car,3,7356,00847b,00847bcar0
1328,674,252,car,3,7356,00847b,00847bcar0
1328,678,210,car,3,7356,00847b,00847bcar0
1328,678,187,car,3,7356,00847b,00847bcar0
1328,678,176,car,3,7356,00847b,00847bcar0
1328,678,140,car,3,7356,00847b,00847bcar0
1328,678,65,car,3,7356,00847b,00847bcar0
1328,678,49,car,3,7356,00847b,00847bcar0
1558,560,350,car,3,7356,00847b,00847bcar1
1558,582,311,car,3,7356,00847b,00847bcar1
1558,594,284,car,3,7356,00847b,00847bcar1
1558,600,266,car,3,7356,00847b,00847bcar1
1558,605,257,car,3,7356,00847b,00847bcar1
1558,611,232,car,3,7356,00847b,00847bcar1
1558,615,184,car,3,7356,00847b,00847bcar1
1558,615,173,car,3,7356,00847b,00847bcar1
1558,616,151,car,3,7356,00847b,00847bcar1
1558,616,142,car,3,7356,00847b,00847bcar1
1558,616,129,car,3,7356,00847b,00847bcar1
1558,616,101,car,3,7356,00847b,00847bcar1
1558,616,89,car,3,7356,00847b,00847bcar1
1558,616,73,car,3,7356,00847b,00847bcar1
1558,616,58,car,3,7356,00847b,00847bcar1
1558,616,42,car,3,7356,00847b,00847bcar1
1558,560,350,car,3,7356,00847b,00847bcar2
1558,582,311,car,3,7356,00847b,00847bcar2
1558,594,284,car,3,7356,00847b,00847bcar2
1558,600,266,car,3,7356,00847b,00847bcar2
1558,605,257,car,3,7356,00847b,00847bcar2
1558,611,232,car,3,7356,00847b,00847bcar2
1558,615,184,car,3,7356,00847b,00847bcar2
1558,615,173,car,3,7356,00847b,00847bcar2
1558,616,151,car,3,7356,00847b,00847bcar2
1558,616,142,car,3,7356,00847b,00847bcar2
1558,616,129,car,3,7356,00847b,00847bcar2
